cleaned_text,label,lexicon_label
emang gin bodoh sinting,cyberbullying,cyberbullying
yapping sampe thread but now i have no fucking patience grace nor will to understand lads fandom normies bodoh ya bodoh aja sinting ya sinting aja ngapain coba elaborate mikirin orang kek gin jauhjauh kalo,cyberbullying,cyberbullying
lu aja kali nurul udah nurat nurut cowo lu bantu cewenya dah bodoh,cyberbullying,cyberbullying
kalo nikah nembak orang bodoh,cyberbullying,cyberbullying
pura bodoh emang bodoh beneran,cyberbullying,cyberbullying
jir bodoh bgt,cyberbullying,cyberbullying
saran bodoh orang bodoh negara bener bener masyarakat orang bodoh ya terus bodoh perintah,cyberbullying,cyberbullying
botak bodoh grebek gak orang udu botak malas baca,cyberbullying,cyberbullying
harap banget jadi bikin si prabowo sadar laku kalo nggak bodoh orang pemrentah,cyberbullying,cyberbullying
rakyat indonesia bodoh pilih yg bodoh,cyberbullying,cyberbullying
suh bodoh ni ya,cyberbullying,cyberbullying
bodoh,cyberbullying,cyberbullying
pilih aja yg bodoh kak udah bikin buruk paslon ttp aja pilih,cyberbullying,cyberbullying
komen ter bodoh,cyberbullying,cyberbullying
oi bodoh simpan sikit,cyberbullying,cyberbullying
this one eh bodoh tu x simpan kut duduk lane laju laju pegi kmh yg dh panas potong kiri sbb jalan kosong xnk tepi beb bapa jalan,cyberbullying,cyberbullying
la tu bodoh,cyberbullying,cyberbullying
ya allah paakkk udah loh ga tobat nih serius bijak bodoh,cyberbullying,cyberbullying
zionis bodoh,cyberbullying,cyberbullying
bodoh modalin gw gw laki kepala rumah tangga,cyberbullying,cyberbullying
hilang job lepas ib vid bodoh tu lepas ni pc sbb klau lost job lepas pc most likely sbb org takut nk amik risiko since ramai org kecam sbb isu silly sbb arah igt amik substance unless arah bodoh cepat percaya,cyberbullying,cyberbullying
penat la tengok kau orang bodoh,cyberbullying,cyberbullying
dukung tdk pernh yg bodoh sdm tolol modal joget bayar pake uang dll hmm cermin yg highligh emang yg jdi ya bener dukung tdk prnh bla bla bla krn,cyberbullying,cyberbullying
kualitas tangki simpan buruk air masuk campur bodoh klo sengaja campur air,cyberbullying,cyberbullying
udah bodoh,cyberbullying,cyberbullying
org bodoh mmg gitu,cyberbullying,cyberbullying
aduh bodoh banget pemeintah,cyberbullying,cyberbullying
mimpi pergi tokyo at night bareng one of my close friend makan daging sapi kelaperan pas udah liat menu mesen nanya harga ya k daging trus pingsan mimpi ngga banget anjinkkkk mimpi bodoh,cyberbullying,cyberbullying
mikir idealis bodoh gak adaptif,cyberbullying,cyberbullying
benda bodoh,cyberbullying,cyberbullying
bodoh coba ngajak orang biar bodoh,cyberbullying,cyberbullying
maxis fibre bodoh minggu los anak haram upgrade benda,cyberbullying,cyberbullying
dap bodoh,cyberbullying,cyberbullying
is a national party penting rakyat malaysia matlamat utama masyarakat sabah amp,non-cyberbullying,non-cyberbullying
the real bodoh pilih orang bodoh,cyberbullying,cyberbullying
investor bodoh kali ya,cyberbullying,cyberbullying
takut ceritacerita ku dengar alam takut anak alami alam minggat bodoh melarat,cyberbullying,cyberbullying
emang tuju kak bikin rakyat bodoh biar gaada yg protes bijak perintah,cyberbullying,cyberbullying
susah payah masuk tni sakit dasar bodoh,cyberbullying,cyberbullying
hutang mdb takda hapus ptptn langkah bodoh fundamentally dah logik nak hapus siapa janji nak hapus tu either pkr pas sah sah hipokrit,cyberbullying,cyberbullying
potong konteks seakanakan bahas liquiditas seret doang just in case lho ngaconya gak titik koma kalimat percaya mbak orang bodoh,cyberbullying,cyberbullying
statment bodoh karyawannya rakyat peccat ga nih,cyberbullying,cyberbullying
bodoh bodoh,cyberbullying,cyberbullying
miris dr mayoritas target konstituen bodoh jd taon skali kasih dangdut an rb minyak telor bs beli suara merekaterbukti gitu,cyberbullying,cyberbullying
byk yg buta sadar gajah tiang daun tangki dll batas buka cerita bodoh manusia bodoh jumawa,cyberbullying,cyberbullying
apa yg takut dri grmbolanan manusia tolol bodoh doktrin unta yaman,cyberbullying,cyberbullying
bodoh,cyberbullying,cyberbullying
kak abadi kucing imut nan bodoh kak,cyberbullying,cyberbullying
adan uke bodoh orang malu kaum je,cyberbullying,cyberbullying
bodoh nampak kes,cyberbullying,cyberbullying
kek anjir gw yg kaya butuh duit gk personal branding gw tolol bodoh grgr buzzer bayar bayangin image lu tolol nih trus lu ngomong ajaa diblg tolol karna image lu buzzer tolol anjir kek kagak malu gitu yaa pen tau bayar sih,cyberbullying,cyberbullying
yaa influencer gede buzzer perintah nama muka lu pampang nih jejak digital tahan sampe lu buzzer knp gitu imagenyaa tolol bodoh gitu karna pro perintah skrg gede bgt bayar ya,cyberbullying,cyberbullying
maaf cowo km bodoh ya i mean sih kaya gin yg highlight avoidancenya doang kek komunikasi jelek bgt buset dah abai text fokus ngabarin timingnya kek cem ya kek org bodoh,cyberbullying,cyberbullying
bodoh linguistik matematika,cyberbullying,cyberbullying
rakyat bodoh aset kuasa korup konglomerat suara beli tenaga kerja murah pasar barang import beda kolonialisme,cyberbullying,cyberbullying
bodoh emang mulut tuh,cyberbullying,cyberbullying
kerja kau incompetent korang puasa maghrib subuh hanat bodoh transport service sampah af,cyberbullying,cyberbullying
gue kejadulan abis selingkuh gue bodoh gue tinggalin gue gak terima gue ngejelasin nya sampe maaf an nyumpahin gue mati putus gue gue gak,cyberbullying,cyberbullying
bodoh kau ni org da lawan ngan fakta tp kau kutuk maki org tu bg fakta mmg sah kau bangang,cyberbullying,cyberbullying
klo termul gak pny otak sy maklum majikan sj bodoh ijazah palsu dukung target tumbuh ekonomi ngimpi kau culik d wapres dungu,cyberbullying,cyberbullying
jadi orang bodoh kaya raya panggung luas tonton juta pasang mata generasi kuasa susah payah apa juta manusia persepsi rusak,cyberbullying,cyberbullying
jdi org bodoh dunia grgr ga lolos snbp,cyberbullying,cyberbullying
parah feodalisme laku bodoh perintah jilat habis uang receh,cyberbullying,cyberbullying
la orang bodoh tengok kau ni panjang throw hate kat islam,cyberbullying,cyberbullying
akun nomor togel kalo ga bodoh ya dungu,cyberbullying,cyberbullying
pintar bodoh,cyberbullying,cyberbullying
dah betol tu gausah marah emang target miskin kasi kejut rekening bank m minimal orang dah pikir tu ma prabowo gibran aja tengok gibran ni kaya orang bodoh asli ga kenal,cyberbullying,cyberbullying
duit juta tk dpt selesai hidup org miskin yg bodoh urus wang,cyberbullying,cyberbullying
tu dah bodoh tafsir ayat simple obsessed sgt kat pas pee end,cyberbullying,cyberbullying
aduhh cinta bodoh kak,cyberbullying,cyberbullying
bauk bodoh,cyberbullying,cyberbullying
kapok citra naif bodoh udah lihat video joget peluk cewek,cyberbullying,cyberbullying
amoi aci kahwin depa amoi aci bodoh taktik ni gagal langsung,cyberbullying,cyberbullying
ak tau km bodoh by jgn diliatin,cyberbullying,cyberbullying
sarkas emang bodoh beneran kaya gak tau aja kualitas mayoritas warga konoha puja mulyono ijazah palsu,cyberbullying,cyberbullying
prabowo petinggi negara mayoritas muslim suruh bikin perpu aja naturalisasi negara komunispikiran bodoh,cyberbullying,cyberbullying
sih trading halt dasar orang bodoh prabowo bilang indonesia gelap via,cyberbullying,cyberbullying
sy curiga asli orang partai usung orang bodoh,cyberbullying,cyberbullying
bodoh polisi ga kerja oke kerja berantas judi trus tembak tni dukung beneran dukung palestina malu aja otak kayak zionis emang bunuh warga,cyberbullying,cyberbullying
bodoh banget apply kali confirm astagaahhh,cyberbullying,cyberbullying
pura pura cara karakter terkadang main peran orang bodoh bodoh orang bodoh pikir bodoh,cyberbullying,cyberbullying
beneran anak bangsa bodoh malas,cyberbullying,cyberbullying
tanah lo ambil orang rusia tu bodoh,cyberbullying,cyberbullying
taik lo market bodoh dab tolol kayak simpatisan rakyat lo,cyberbullying,cyberbullying
